station,date,latitude,longitude,elevation_meters,name,temperature_f,dewpoint_f,sea_level_pressure_mb,station_pressure_mb,visibility_miles,wind_speed_knots,max_wind_speed_knots,wind_gust_knots,max_temperature_f,min_temperature_f,precipitation_inches,snow_depth_inches,quality_flag,fog,rain_or_drizzle,snow_or_ice_pellets,hail,thunder,tornado_or_funnel_cloud
72530094846,1/1/2019,41.96017,-87.93164,204.8,CHICAGO OHARE INTERNATIONAL AIRPORT - IL US,30.7,28.2,1019.8,993.8,8.1,8.9,18.1,26.0,39.0,26.1,0.86,999.9,,False,True,True,True,False,False
72530094846,1/2/2019,41.96017,-87.93164,204.8,CHICAGO OHARE INTERNATIONAL AIRPORT - IL US,27.6,24.5,1022.2,997.2,7.6,5.6,15.0,22.0,34.0,26.1,0.01,999.9,,False,True,True,False,False,False
72530094846,1/3/2019,41.96017,-87.93164,204.8,CHICAGO OHARE INTERNATIONAL AIRPORT - IL US,29.2,22.9,1016.8,991.6,10.0,9.9,15.0,24.1,37.9,24.1,0.01,999.9,,False,False,False,False,False,False
72530094846,1/4/2019,41.96017,-87.93164,204.8,CHICAGO OHARE INTERNATIONAL AIRPORT - IL US,37.0,28.1,1010.1,985.1,10.0,9.1,15.0,21.0,48.0,24.3,0.0,999.9,,False,False,False,False,False,False
72530094846,1/5/2019,41.96017,-87.93164,204.8,CHICAGO OHARE INTERNATIONAL AIRPORT - IL US,38.9,32.0,1008.9,984.4,10.0,6.3,14.0,20.0,52.0,31.1,0.0,999.9,,False,False,False,False,False,False
72530094846,1/6/2019,41.96017,-87.93164,204.8,CHICAGO OHARE INTERNATIONAL AIRPORT - IL US,37.9,31.7,1020.8,996.1,10.0,8.4,13.0,999.9,52.0,30.0,0.0,999.9,,False,False,False,False,False,False
72530094846,1/7/2019,41.96017,-87.93164,204.8,CHICAGO OHARE INTERNATIONAL AIRPORT - IL US,43.6,38.7,1013.7,985.3,8.2,14.2,19.0,31.1,53.6,37.0,0.0,999.9,,False,True,False,False,False,False
72530094846,1/8/2019,41.96017,-87.93164,204.8,CHICAGO OHARE INTERNATIONAL AIRPORT - IL US,41.4,35.4,1008.4,983.8,8.2,10.9,25.1,41.0,53.1,36.0,0.44,999.9,,False,True,False,False,False,False
72530094846,1/9/2019,41.96017,-87.93164,204.8,CHICAGO OHARE INTERNATIONAL AIRPORT - IL US,23.2,11.6,1021.3,996.4,10.0,14.2,22.0,35.9,45.0,19.0,0.0,999.9,,False,False,True,False,False,False
72530094846,1/10/2019,41.96017,-87.93164,204.8,CHICAGO OHARE INTERNATIONAL AIRPORT - IL US,17.9,8.7,1029.8,4.0,10.0,6.1,11.1,999.9,25.0,14.0,0.0,999.9,FLAG_ANOMALY_STP,False,False,False,False,False,False
